488,48800
52,5200
1486,148600
874,87400
522,52200
38,3800
548,54800
1540,154000
110,11000
1768,176800
168,16800
1196,119600
210,21000
1422,142200
1830,183000
1596,159600
1488,148800
1098,109800
600,60000
1494,149400
1396,139600
192,19200
1608,160800
760,76000
398,39800
212,21200
604,60400
1142,114200
1760,176000
1158,115800
1756,175600
1492,149200
1924,192400
854,85400
1368,136800
1136,113600
1656,165600
698,69800
1274,127400
870,87000
598,59800
934,93400
518,51800
1126,112600
1918,191800
56,5600
1752,175200
930,93000
1804,180400
1614,161400
464,46400
1926,192600
1708,170800
1620,162000
1238,123800
1066,106600
1552,155200
1990,199000
982,98200
330,33000
1712,171200
1686,168600
744,74400
788,78800
482,48200
868,86800
142,14200
1546,154600
806,80600
722,72200
1710,171000
1092,109200
602,60200
1310,131000
90,9000
448,44800
132,13200
112,11200
150,15000
574,57400
1360,136000
1062,106200
1256,125600
860,86000
1202,120200
460,46000
1746,174600
1532,153200
1172,117200
1872,187200
138,13800
714,71400
858,85800
1230,123000
1352,135200
1484,148400
532,53200
86,8600
1392,139200
1018,101800
1682,168200
872,87200
1922,192200
1632,163200
1306,130600
1580,158000
1312,131200
1268,126800
1034,103400
1828,182800
1378,137800
466,46600
248,24800
1954,195400
1094,109400
638,63800
198,19800
1116,111600
1130,113000
1264,126400
340,34000
1870,187000
278,27800
1452,145200
932,93200
1220,122000
922,92200
608,60800
1112,111200
538,53800
176,17600
566,56600
1232,123200
266,26600
1700,170000
686,68600
216,21600
368,36800
978,97800
716,71600
158,15800
416,41600
444,44400
856,85600
1016,101600
260,26000
240,24000
508,50800
1444,144400
326,32600
1592,159200
1550,155000
292,29200
1796,179600
116,11600
1534,153400
46,4600
380,38000
1586,158600
1236,123600
1406,140600
516,51600
22,2200
80,8000
580,58000
1028,102800
184,18400
796,79600
1000,100000
1856,185600
654,65400
20,2000
790,79000
430,43000
364,36400
436,43600
186,18600
1466,146600
1304,130400
1078,107800
286,28600
578,57800
568,56800
1582,158200
1150,115000
424,42400
628,62800
1692,169200
1850,185000
1782,178200
674,67400
346,34600
1908,190800
1528,152800
1386,138600
1564,156400
1286,128600
1960,196000
886,88600
178,17800
968,96800
1458,145800
396,39600
2,200
1278,127800
484,48400
802,80200
378,37800
334,33400
756,75600
752,75200
550,55000
1308,130800
688,68800
78,7800
1216,121600
312,31200
594,59400
1460,146000
820,82000
1892,189200
1600,160000
896,89600
50,5000
100,10000
480,48000
990,99000
24,2400
1622,162200
562,56200
666,66600
438,43800
984,98400
814,81400
576,57600
1148,114800
1802,180200
1068,106800
1424,142400
1042,104200
214,21400
390,39000
1930,193000
1248,124800
8,800
1240,124000
1554,155400
268,26800
1402,140200
208,20800
1808,180800
1332,133200
746,74600
246,24600
1008,100800
652,65200
284,28400
1366,136600
1702,170200
1252,125200
606,60600
1740,174000
916,91600
1416,141600
1820,182000
36,3600
1508,150800
992,99200
734,73400
942,94200
880,88000
970,97000
344,34400
1542,154200
938,93800
620,62000
470,47000
1566,156600
304,30400
1164,116400
1742,174200
1178,117800
894,89400
1942,194200
1766,176600
1152,115200
1902,190200
1526,152600
958,95800
1678,167800
586,58600
232,23200
1012,101200
1058,105800
1642,164200
904,90400
200,20000
1316,131600
462,46200
1522,152200
1170,117000
1578,157800
776,77600
1132,113200
288,28800
1904,190400
1946,194600
640,64000
684,68400
1840,184000
1716,171600
960,96000
1998,199800
980,98000
1660,166000
1798,179800
160,16000
1246,124600
6,600
832,83200
1358,135800
1372,137200
452,45200
1330,133000
748,74800
1276,127600
356,35600
1906,190600
1934,193400
848,84800
838,83800
642,64200
1260,126000
42,4200
1482,148200
166,16600
1292,129200
242,24200
1026,102600
1162,116200
1234,123400
1346,134600
1370,137000
1606,160600
1084,108400
1538,153800
48,4800
692,69200
1108,110800
1384,138400
1294,129400
676,67600
14,1400
1876,187600
964,96400
626,62600
456,45600
1298,129800
262,26200
826,82600
102,10200
1462,146200
372,37200
1318,131800
1214,121400
1408,140800
588,58800
784,78400
1672,167200
314,31400
1750,175000
504,50400
1032,103200
1928,192800
440,44000
244,24400
148,14800
1280,128000
172,17200
74,7400
750,75000
804,80400
1826,182600
1612,161200
264,26400
544,54400
500,50000
298,29800
558,55800
740,74000
712,71200
956,95600
614,61400
1328,132800
1060,106000
478,47800
1670,167000
420,42000
736,73600
534,53400
1470,147000
1320,132000
256,25600
1064,106400
134,13400
1288,128800
660,66000
1884,188400
556,55600
12,1200
1882,188200
1438,143800
944,94400
782,78200
1704,170400
1854,185400
92,9200
